"231801","การพิมพ์สกรีน","2318",,"318"
"231901","ออกแบบนิเทศศิลป์","2319",,"319"
"240101","แฟชั่นดีไซน์","2401","Fasion Design","401"
"240102","เสื้อผ้าแฟชั่น","2401","Clothing Design","401"
"240103","อุตสาหกรรมเสื้อผ้า","2401","Clothing Industry","401"
"240104","ธุรกิจแฟชั่น","2401","Clothes Business","401"
"240201","อาหารและโภชนาการ","2402","Food and Nutrition","402"
"240202","แปรรูปอาหาร","2402","Food Processing","402"
"240203","ธุรกิจอาหาร","2402","Food Business","402"
"240301","คหกรรมการผลิต","2403","Home Economics Productivity","403"
"240302","คหกรรมการบริการ","2403","Home Economics Services","403"
"240303","ธุรกิจคหกรรม","2403","Home Economics Business","403"
"240401","อาหารและโภชนาการ","2404","Food and Nutrition","404"
"240402","แปรรูปอาหาร","2404",,"404"
"240403","ธุรกิจอาหาร","2404",,"404"
"240601","ธุรกิจดอกไม้และงานประดิษฐ์","2406",,"406"
"240602","เด็กปฐมวัย","2406",,"406"
"240603","คหกรรมเพื่อการโรงแรม","2406",,"406"
"240701","เสริมสวย","2407","Beauty","407"
"240801","แฟชั่นดีไซน์","2408",,"408"
"240802","อาหารและโภชนาการ","2408",,"408"
"240803","ดอกไม้และงานประดิษฐ์","2408",,"408"
"240804","เสริมสวย","2408",,"408"
"249101","กลุ่มวิชางานแปรรูปอาหาร","2491",,"491"
"259104","กลุ่มวิชาอุตสาหกรรมเกษตร","2491","Agro-Industrial","491"
"250101","การเกษตร","2501",,"501"
"250102","พืชศาสตร์","2501","Plant Science","501"
"250103","สัตวศาสตร์","2501","Animal Science","501"
"250104","ช่างเกษตร","2501","Farm Mechanics","501"
"250105","อุตสาหกรรมเกษตร","2501","Agro- Industrial","501"
"250106","ผลิตสัตว์น้ำ","2501",,"501"
"259101","กลุ่มวิชาเทคโนโลยีชีวภาพเกษตร","2591","Aqriculture Biotechnology","591"
"259102","กลุ่มวิชาพืชศาสตร์","2591","Plant Science","591"
"259103","กลุ่มวิชาสัตวศาสตร์","2591","Animal Science","591"
"259105","กลุ่มวิชาช่างเกษตร","2591","Farm Mechanics","591"
"260101","เพาะเลี้ยงสัตว์น้ำ","2601",,"601"
"260201","แปรรูปสัตว์น้ำ","2602",,"602"
"260202","ผลิตภัณฑ์สัตว์น้ำแช่เยือกแข็ง","2602",,"602"
"260203","ซูริมิและผลิตภัณฑ์","2602","Surimi Processing and Product","602"
"260204","ผลิตภัณฑ์สัตว์น้ำบรรจุกระป๋อง","2602",,"602"
"260301","ประมงทะเล","2603","Marine Fisheries","603"
"270101","การโรงแรม","2701","Hospitality","701"
"270201","การท่องเที่ยว","2702","Tourism","702"
"280101","เทคโนโลยีสิ่งทอ","2801","Textile TechnoLogy","801"
"280201","เคมีสิ่งทอ","2802","Textile Chemistry","802"
"280301","เทคโนโลยีเครื่องนุ่งห่ม","2803","Garment Industry","803"
"290101","เทคโนโลยีสารสนเทศ","2901","Information Technology","901"
"310101","เทคนิคยานยนต์","3101","Automotive Techniques","101"
"310102","เทคนิคเครื่องกลอุตสาหกรรม","3101","Industrial Machinery","101"
"310103","เทคนิคเครื่องกลเรือ","3101","Ship Mechanics","101"
"310104","เทคนิคเครื่องกลเกษตร","3101","Agricultural Machinery","101"
"310105","เทคนิคเครื่องกลเรือพาณิชย์","3101","Ocean Vessel Mechanics","101"
"310106","เทคนิคซ่อมตัวถังและสีรถยนต์","3101","Auto body repair and repaint","101"
"310107","บำรุงรักษาเครื่องกลอุตสาหกรรมผลิตไฟฟ้า","3101","Power Genertor Mechnical Maintenance","101"
"310108","เทคนิคเครื่องกลระบบขนส่งทางราง","3101",,"101"
"310201","เครื่องมือกล","3102","Machine Tool","102"
"310202","แม่พิมพ์โลหะ","3102","Die-making","102"
"310203","แม่พิมพ์พลาสติก","3102","Mold-making","102"
"310204","ผลิตชิ้นส่วนยานยนต์","3102",,"102"
"310301","ตรวจสอบและทดสอบงานเชื่อม","3103",,"103"
"310302","เทคโนโลยีงานเชื่อมและขึ้นรูปผลิตภัณฑ์โลหะ","3103",,"103"
"310303","เทคโนโลยีงานเชื่อมโครงสร้างโลหะ","3103",,"103"
"310304","เทคโนโลยีงานเชื่อมท่อและถังความดัน","3103",,"103"
"310401","ไฟฟ้าควบคุม","3104",,"104"
"310402","ไฟฟ้ากำลัง","3104","Electrical Power","104"
"310403","เครื่องทำความเย็นและปรับอากาศ","3104","Refrigeration and Air-condition","104"
"310404","เครื่องมือวัดอุตสาหกรรม","3104","Industrial Instruments","104"
"310405","บำรุงรักษาระบบจำหน่ายและอุปกรณ์ไฟฟ้า","3104","Electric Distribution System and Devices Maintenance","104"
"310406","เทคนิคในอาคารขนาดใหญ่","3104","Building System","104"
"310407","บำรุงรักษาระบบไฟฟ้าในระบบขนส่งทางราง","3104",,"104"
"310408","เทคโนโลยีระบบส่งไฟฟ้า","3104",,"104"
"310501","อิเล็กทรอนิกส์อุตสาหกรรม","3105","Industrial Electronics","105"
"310502","ระบบภาพและระบบเสียง","3105","Audio and Video Systems","105"
"310503","อิเล็กทรอนิกส์การแพทย์","3105",,"105"
"310601","ก่อสร้าง","3106","Building Construction","106"
"310701","อุตสาหกรรมเครื่องเรือน","3107","Furniture Production","107"
"310702","ออกแบบตกแต่งภายใน","3107","Interior Designing","107"
"310703","ตกแต่งภายใน","3107","Interior Decoration","107"
"310801","เทคนิคสถาปัตยกรรม","3108","Architectural","108"
"310901","สำรวจ","3109","Surveying","109"
"311001","เขียนแบบเครื่องกล","3110","Mechanical Drafting","110"
"311101","ติดตั้งและบำรุงรักษา","3111",,"111"
"311102","อุตสาหกรรมการผลิต","3111",,"111"
"311201","การพิมพ์","3112",,"112"
"311301","เทคนิคการควบคุมการผลิตพลังงาน","3113",,"113"
"311302","เทคนิคการซ่อมบำรุงอุตสาหกรรมพลังงาน","3113",,"113"
"311303","เทคนิคการจัดการพลังงาน","3113",,"113"
"311501","เทคนิคกายอุปกรณ์","3115",,"115"
"311601","เทคนิคแว่นตาและเลนส์","3116",,"116"
"311701","เทคโนโลยีการต่อเรือ","3117",,"117"
"311901","เทคโนโลยีระบบโทรคมนาคม","3119",,"119"
"311902","เทคโนโลยีระบบเครือข่ายสายตอนนอก","3119",,"119"
"311903","เทคโนโลยีระบบสื่อสารข้อมูลและเครือข่าย","3119",,"119"
"311904","เทคโนโลยีระบบสื่อสารวิทยุ","3119",,"119"
"312001","เทคโนโลยีการวัดและควบคุม","3120",,"120"
"312101","โยธา","3121",,"121"
"312201","เทคโนโลยียาง","3122","Rubber Technology","122"
"312301","เคมีอุตสาหกรรม","3123",,"123"
"312401","ปิโตรเคมี","3124",,"124"
"312601","ช่างอากาศยาน","3126",,"126"
"312701","เมคคาทรอนิกส์และหุ่นยนต์","3127",,"127"
"312801","คอมพิวเตอร์ฮาร์ดแวร์","3128","Computer Technology","128"
"312802","คอมพิวเตอร์ซอฟแวร์","3128",,"128"
"312803","คอมพิวเตอร์ระบบเครือข่าย","3128",,"128"
"312804","คอมพิวเตอร์มัลติมีเดีย","3128",,"128"
"313202","เทคโนโลยีปิโตรเลียม","3132","Petroleum Technology","132"
"313201","เทคโนโลยีหลุมเจาะปิโตรเลียม","3132","Oil well Technology","132"
"320101","การบัญชี","3201","Accounting","201"
"320201","การตลาด","3202","Marketing","202"
